,Lambda=0.1,Lambda=1,Lambda=10,Lambda=100,Lambda=200,Repeats,ScoreEstim
0,5.379862090419446,5.409152634449571,5.391968546307562,5.614059859388044,5.707882298514047,1.0,1.5029254290786689
1,5.374068055595922,5.382732544600719,5.3801033055115255,5.587227863259032,5.678381343508515,11.0,1.402513112475713
2,5.369638482348086,5.377647973098848,5.3710794822703845,5.576285209799016,5.66506575013035,21.0,1.3597168976466811
3,5.379794328515043,5.387894845223456,5.374822815182908,5.5689001058717675,5.65738238490419,31.0,1.368794479697364
4,5.37597672579202,5.383933965148755,5.369014851368883,5.564779472380577,5.654034257247633,41.0,1.347739271937872
5,5.385328822677006,5.390446071367416,5.372924352193295,5.569961200535911,5.659841165072883,51.0,1.3785016118465094
6,5.389197492121976,5.395307071117433,5.37882574308104,5.574357525313795,5.664067269628947,61.0,1.4017551012631948
7,5.38196963341356,5.389012975817734,5.375568196759771,5.572636159134505,5.662609344404336,71.0,1.3817963095299035
8,5.377897921417164,5.383436102863352,5.369495368815671,5.569984232982628,5.661283384586968,81.0,1.362097010665778
9,5.381432446376112,5.386817236296967,5.372112597624085,5.572429513408173,5.66313629637182,91.0,1.37592809007716
10,5.383318604240271,5.387866092068572,5.373201903013216,5.57227004790653,5.662631086373078,101.0,1.379287733601668
11,5.385526123936027,5.389945049941846,5.374095399489248,5.572639598567766,5.662843364755602,111.0,1.385049536690488
12,5.3833474757982005,5.387627995126929,5.371627083529852,5.5710168872756,5.661730055393956,121.0,1.3753494971245388
13,5.3804207632150165,5.384358239212209,5.368088124140502,5.567832641791253,5.658798171344226,131.0,1.359497939703207
14,5.38300523927024,5.387254084429295,5.369280216008938,5.5693280293570595,5.660390816823108,141.0,1.3692583858886422
